date,symbol,open,high,low,close,adj_close,volume,source
2015-01-02,NVDA,0.503250,0.507000,0.495250,0.503250,0.482423,113680000,yahoo_finance_chart
2015-01-05,NVDA,0.503250,0.504750,0.492500,0.494750,0.474275,197952000,yahoo_finance_chart
2015-01-06,NVDA,0.495500,0.496000,0.479250,0.479750,0.459896,197764000,yahoo_finance_chart
2015-01-07,NVDA,0.483250,0.487500,0.477000,0.478500,0.458697,321808000,yahoo_finance_chart
2015-01-08,NVDA,0.484000,0.499500,0.483750,0.496500,0.475952,283780000,yahoo_finance_chart
2015-01-09,NVDA,0.498250,0.502250,0.491500,0.498500,0.477870,209540000,yahoo_finance_chart
2015-01-12,NVDA,0.499750,0.500000,0.487750,0.492250,0.471878,190732000,yahoo_finance_chart
2015-01-13,NVDA,0.496000,0.506000,0.488000,0.491500,0.471159,236720000,yahoo_finance_chart
2015-01-14,NVDA,0.486250,0.495000,0.485000,0.493500,0.473077,155260000,yahoo_finance_chart
2015-01-15,NVDA,0.497000,0.500000,0.489750,0.490000,0.469722,188932000,yahoo_finance_chart
2015-01-16,NVDA,0.489250,0.499500,0.487750,0.499000,0.478349,181512000,yahoo_finance_chart
2015-01-20,NVDA,0.502500,0.505250,0.494250,0.500500,0.479787,140308000,yahoo_finance_chart
2015-01-21,NVDA,0.497750,0.508750,0.494250,0.507500,0.486497,144780000,yahoo_finance_chart
2015-01-22,NVDA,0.508500,0.517750,0.503250,0.516250,0.494885,159712000,yahoo_finance_chart
2015-01-23,NVDA,0.516750,0.518750,0.512500,0.517750,0.496323,120416000,yahoo_finance_chart
2015-01-26,NVDA,0.515500,0.518000,0.512250,0.515500,0.494166,133240000,yahoo_finance_chart
2015-01-27,NVDA,0.507500,0.508000,0.489750,0.490750,0.470440,357948000,yahoo_finance_chart
2015-01-28,NVDA,0.496750,0.498750,0.482500,0.482750,0.462771,272728000,yahoo_finance_chart
2015-01-29,NVDA,0.483000,0.497250,0.480750,0.494500,0.474035,235340000,yahoo_finance_chart
2015-01-30,NVDA,0.491000,0.496750,0.479250,0.480000,0.460135,298200000,yahoo_finance_chart
2015-02-02,NVDA,0.483000,0.492500,0.473500,0.490500,0.470201,259604000,yahoo_finance_chart
2015-02-03,NVDA,0.494000,0.503250,0.491500,0.502750,0.481944,183468000,yahoo_finance_chart
2015-02-04,NVDA,0.501250,0.509750,0.499750,0.504000,0.483142,181516000,yahoo_finance_chart
2015-02-05,NVDA,0.504500,0.512500,0.504000,0.512250,0.491051,140448000,yahoo_finance_chart
2015-02-06,NVDA,0.511750,0.517750,0.507750,0.510000,0.488894,210524000,yahoo_finance_chart
2015-02-09,NVDA,0.507000,0.511000,0.503750,0.509500,0.488414,273944000,yahoo_finance_chart
2015-02-10,NVDA,0.510000,0.524000,0.507750,0.523750,0.502075,226204000,yahoo_finance_chart
2015-02-11,NVDA,0.525000,0.525000,0.516750,0.520250,0.498720,320832000,yahoo_finance_chart
2015-02-12,NVDA,0.550000,0.562500,0.546750,0.557500,0.534428,676904000,yahoo_finance_chart
2015-02-13,NVDA,0.556250,0.558500,0.547750,0.557750,0.534668,310084000,yahoo_finance_chart
2015-02-17,NVDA,0.556750,0.562250,0.553250,0.559500,0.536345,203340000,yahoo_finance_chart
2015-02-18,NVDA,0.558750,0.559750,0.552000,0.553000,0.530114,170948000,yahoo_finance_chart
2015-02-19,NVDA,0.560000,0.561000,0.552000,0.554500,0.531552,169432000,yahoo_finance_chart
2015-02-20,NVDA,0.554000,0.558750,0.550000,0.558500,0.535387,157752000,yahoo_finance_chart
2015-02-23,NVDA,0.558250,0.558250,0.551250,0.554000,0.531073,125008000,yahoo_finance_chart
2015-02-24,NVDA,0.554000,0.557750,0.549000,0.557750,0.536726,149356000,yahoo_finance_chart
2015-02-25,NVDA,0.555500,0.558000,0.551000,0.553500,0.532637,123820000,yahoo_finance_chart
2015-02-26,NVDA,0.554000,0.558250,0.550500,0.555000,0.534080,152864000,yahoo_finance_chart
2015-02-27,NVDA,0.553500,0.554750,0.549500,0.551500,0.530712,157492000,yahoo_finance_chart
2015-03-02,NVDA,0.550000,0.568000,0.549250,0.565000,0.543703,301512000,yahoo_finance_chart
2015-03-03,NVDA,0.560750,0.563500,0.552750,0.554500,0.533599,160344000,yahoo_finance_chart
2015-03-04,NVDA,0.552500,0.562000,0.550250,0.560750,0.539613,226840000,yahoo_finance_chart
2015-03-05,NVDA,0.560750,0.572500,0.559250,0.571500,0.549958,323056000,yahoo_finance_chart
2015-03-06,NVDA,0.568250,0.571000,0.563250,0.563750,0.542500,257392000,yahoo_finance_chart
2015-03-09,NVDA,0.564000,0.569500,0.562750,0.565250,0.543944,222388000,yahoo_finance_chart
2015-03-10,NVDA,0.567750,0.578750,0.566750,0.575000,0.553326,527212000,yahoo_finance_chart
2015-03-11,NVDA,0.575000,0.582500,0.570500,0.572000,0.550439,262120000,yahoo_finance_chart
2015-03-12,NVDA,0.566500,0.570750,0.556000,0.566750,0.545387,406972000,yahoo_finance_chart
2015-03-13,NVDA,0.564000,0.569000,0.556250,0.567500,0.546109,359288000,yahoo_finance_chart
2015-03-16,NVDA,0.572000,0.577750,0.568250,0.574250,0.552604,236956000,yahoo_finance_chart
2015-03-17,NVDA,0.573000,0.581500,0.569000,0.581250,0.559340,299900000,yahoo_finance_chart
2015-03-18,NVDA,0.581250,0.584250,0.566500,0.571750,0.550198,413844000,yahoo_finance_chart
2015-03-19,NVDA,0.573750,0.582500,0.569500,0.580500,0.558619,310756000,yahoo_finance_chart
2015-03-20,NVDA,0.585250,0.590250,0.579750,0.586750,0.564633,462084000,yahoo_finance_chart
2015-03-23,NVDA,0.569250,0.576750,0.567500,0.567750,0.546349,426012000,yahoo_finance_chart
2015-03-24,NVDA,0.566000,0.570000,0.557500,0.560000,0.538891,330480000,yahoo_finance_chart
2015-03-25,NVDA,0.559750,0.559750,0.524250,0.526000,0.506173,542552000,yahoo_finance_chart
2015-03-26,NVDA,0.515250,0.526500,0.511500,0.524250,0.504489,311920000,yahoo_finance_chart
2015-03-27,NVDA,0.527250,0.536500,0.518750,0.534500,0.514353,318288000,yahoo_finance_chart
2015-03-30,NVDA,0.537000,0.539500,0.530000,0.536750,0.516518,253252000,yahoo_finance_chart
2015-03-31,NVDA,0.535250,0.535750,0.522750,0.523250,0.503527,357276000,yahoo_finance_chart
2015-04-01,NVDA,0.525250,0.527000,0.516250,0.525250,0.505451,330768000,yahoo_finance_chart
