date,symbol,open,high,low,close,adj_close,volume,source
2015-01-02,QQQ,103.760002,104.199997,102.440002,102.940002,94.561157,31314600,yahoo_finance_chart
2015-01-05,QQQ,102.489998,102.610001,101.139999,101.430000,93.174080,36521300,yahoo_finance_chart
2015-01-06,QQQ,101.580002,101.750000,99.620003,100.070000,91.924751,66205500,yahoo_finance_chart
2015-01-07,QQQ,100.730003,101.599998,100.489998,101.360001,93.109779,37577400,yahoo_finance_chart
2015-01-08,QQQ,102.220001,103.500000,102.110001,103.300003,94.891846,40212600,yahoo_finance_chart
2015-01-09,QQQ,103.620003,103.650002,102.019997,102.620003,94.267212,41410100,yahoo_finance_chart
2015-01-12,QQQ,102.820000,102.930000,101.290001,101.550003,93.284302,34129800,yahoo_finance_chart
2015-01-13,QQQ,102.540001,103.620003,100.699997,101.519997,93.256729,56162300,yahoo_finance_chart
2015-01-14,QQQ,100.500000,101.480003,100.070000,100.959999,92.742325,51354200,yahoo_finance_chart
2015-01-15,QQQ,101.430000,101.589996,99.529999,99.650002,91.538933,51005400,yahoo_finance_chart
2015-01-16,QQQ,99.519997,100.949997,99.360001,100.820000,92.613731,35362200,yahoo_finance_chart
2015-01-20,QQQ,101.430000,101.879997,100.290001,101.620003,93.348610,30964100,yahoo_finance_chart
2015-01-21,QQQ,101.320000,102.620003,100.959999,102.139999,93.826256,40128800,yahoo_finance_chart
2015-01-22,QQQ,102.540001,104.139999,101.639999,104.029999,95.562424,40887200,yahoo_finance_chart
2015-01-23,QQQ,104.019997,104.580002,103.720001,104.260002,95.773705,34783000,yahoo_finance_chart
2015-01-26,QQQ,104.139999,104.330002,103.610001,104.139999,95.663467,19960900,yahoo_finance_chart
2015-01-27,QQQ,102.500000,102.559998,101.099998,101.440002,93.183220,45253200,yahoo_finance_chart
2015-01-28,QQQ,103.070000,103.180000,100.900002,100.919998,92.705551,43591700,yahoo_finance_chart
2015-01-29,QQQ,100.839996,102.080002,99.959999,101.889999,93.596603,46539700,yahoo_finance_chart
2015-01-30,QQQ,101.800003,102.580002,100.959999,101.099998,92.870934,42927600,yahoo_finance_chart
2015-02-02,QQQ,101.330002,102.070000,99.750000,101.980003,93.679321,43624700,yahoo_finance_chart
2015-02-03,QQQ,102.349998,103.029999,101.680000,102.959999,94.579506,30750400,yahoo_finance_chart
2015-02-04,QQQ,102.540001,103.550003,102.309998,102.870003,94.496849,34073200,yahoo_finance_chart
2015-02-05,QQQ,103.129997,103.830002,102.870003,103.760002,95.314407,23605500,yahoo_finance_chart
2015-02-06,QQQ,103.919998,104.169998,102.760002,103.129997,94.735703,34169300,yahoo_finance_chart
2015-02-09,QQQ,102.730003,103.290001,102.550003,102.800003,94.432533,22604700,yahoo_finance_chart
2015-02-10,QQQ,103.370003,104.540001,103.209999,104.400002,95.902298,23686500,yahoo_finance_chart
2015-02-11,QQQ,104.519997,105.019997,104.320000,104.779999,96.251373,20303600,yahoo_finance_chart
2015-02-12,QQQ,105.459999,106.040001,105.300003,106.000000,97.372086,22520300,yahoo_finance_chart
2015-02-13,QQQ,106.300003,106.930000,106.099998,106.910004,98.208023,29030200,yahoo_finance_chart
2015-02-17,QQQ,106.910004,107.080002,106.639999,107.010002,98.299873,17675300,yahoo_finance_chart
2015-02-18,QQQ,106.879997,107.220001,106.739998,107.160004,98.437653,15149600,yahoo_finance_chart
2015-02-19,QQQ,107.089996,107.760002,107.059998,107.690002,98.924561,19828100,yahoo_finance_chart
2015-02-20,QQQ,107.620003,108.470001,107.279999,108.410004,99.585945,28336700,yahoo_finance_chart
2015-02-23,QQQ,108.349998,108.550003,108.110001,108.519997,99.686981,17868000,yahoo_finance_chart
2015-02-24,QQQ,108.379997,108.730003,108.050003,108.599998,99.760445,19745000,yahoo_finance_chart
2015-02-25,QQQ,108.440002,108.860001,108.089996,108.330002,99.512444,19472300,yahoo_finance_chart
2015-02-26,QQQ,108.440002,108.940002,108.139999,108.879997,100.017662,22255500,yahoo_finance_chart
2015-02-27,QQQ,108.839996,108.910004,108.230003,108.400002,99.576736,27757600,yahoo_finance_chart
2015-03-02,QQQ,108.610001,109.419998,108.589996,109.379997,100.476974,22988600,yahoo_finance_chart
2015-03-03,QQQ,109.050003,109.160004,108.180000,108.870003,100.008469,20788900,yahoo_finance_chart
2015-03-04,QQQ,108.510002,108.669998,107.860001,108.449997,99.622658,21007400,yahoo_finance_chart
2015-03-05,QQQ,108.730003,108.970001,108.190002,108.639999,99.797188,15381000,yahoo_finance_chart
2015-03-06,QQQ,108.500000,108.709999,107.139999,107.410004,98.667313,30990400,yahoo_finance_chart
2015-03-09,QQQ,107.629997,107.989998,107.190002,107.720001,98.952095,26237100,yahoo_finance_chart
2015-03-10,QQQ,106.949997,106.980003,105.720001,105.720001,97.114876,34234500,yahoo_finance_chart
2015-03-11,QQQ,105.879997,106.010002,105.070000,105.110001,96.554497,25459700,yahoo_finance_chart
2015-03-12,QQQ,105.029999,105.919998,104.959999,105.800003,97.188339,21473200,yahoo_finance_chart
2015-03-13,QQQ,105.699997,106.120003,104.680000,105.339996,96.765793,42021100,yahoo_finance_chart
2015-03-16,QQQ,105.730003,106.739998,105.620003,106.699997,98.015083,25674100,yahoo_finance_chart
2015-03-17,QQQ,106.410004,107.040001,106.160004,106.870003,98.171242,19603800,yahoo_finance_chart
2015-03-18,QQQ,106.580002,108.410004,106.029999,107.919998,99.135765,40622200,yahoo_finance_chart
2015-03-19,QQQ,108.029999,108.379997,107.870003,108.080002,99.282776,31314000,yahoo_finance_chart
2015-03-20,QQQ,108.720001,109.070000,108.510002,108.529999,99.925430,31761400,yahoo_finance_chart
2015-03-23,QQQ,108.470001,108.769997,108.279999,108.320000,99.732101,17268500,yahoo_finance_chart
2015-03-24,QQQ,108.309998,108.809998,107.910004,107.930000,99.373016,22445300,yahoo_finance_chart
2015-03-25,QQQ,108.099998,108.199997,105.419998,105.459999,97.098831,41581400,yahoo_finance_chart
2015-03-26,QQQ,104.589996,105.699997,104.239998,105.099998,96.767387,47846300,yahoo_finance_chart
2015-03-27,QQQ,105.080002,105.769997,104.919998,105.519997,97.154083,33878400,yahoo_finance_chart
2015-03-30,QQQ,106.160004,106.820000,106.160004,106.730003,98.268158,30570200,yahoo_finance_chart
2015-03-31,QQQ,106.430000,106.650002,105.570000,105.599998,97.227753,30488100,yahoo_finance_chart
2015-04-01,QQQ,105.599998,105.620003,104.370003,105.050003,96.721321,32970500,yahoo_finance_chart
2015-04-02,QQQ,105.150002,105.459999,104.779999,105.120003,96.785812,19164200,yahoo_finance_chart
2015-04-06,QQQ,104.500000,106.269997,104.339996,105.980003,97.577629,24451100,yahoo_finance_chart
2015-04-07,QQQ,105.919998,106.699997,105.800003,105.800003,97.411888,19379400,yahoo_finance_chart
2015-04-08,QQQ,105.839996,106.790001,105.830002,106.639999,98.185265,25866900,yahoo_finance_chart
2015-04-09,QQQ,106.589996,107.349998,106.230003,107.309998,98.802155,23114700,yahoo_finance_chart
2015-04-10,QQQ,107.269997,107.760002,107.029999,107.750000,99.207268,17164300,yahoo_finance_chart
2015-04-13,QQQ,107.830002,108.379997,107.360001,107.480003,98.958702,17783500,yahoo_finance_chart
2015-04-14,QQQ,107.370003,107.680000,106.559998,107.169998,98.673233,23755700,yahoo_finance_chart
2015-04-15,QQQ,107.449997,108.070000,107.320000,107.839996,99.290123,21128600,yahoo_finance_chart
2015-04-16,QQQ,107.550003,107.879997,107.400002,107.690002,99.152046,16195300,yahoo_finance_chart
2015-04-17,QQQ,106.660004,106.949997,105.550003,106.010002,97.605240,46514000,yahoo_finance_chart
2015-04-20,QQQ,106.540001,107.790001,106.500000,107.599998,99.069168,28945900,yahoo_finance_chart
2015-04-21,QQQ,108.220001,108.410004,107.930000,108.059998,99.492729,22759800,yahoo_finance_chart
2015-04-22,QQQ,108.339996,108.830002,107.639999,108.650002,100.035934,21429200,yahoo_finance_chart
2015-04-23,QQQ,108.279999,109.550003,108.260002,109.059998,100.413414,29473200,yahoo_finance_chart
2015-04-24,QQQ,110.209999,110.690002,110.029999,110.540001,101.776093,32508100,yahoo_finance_chart
2015-04-27,QQQ,110.949997,111.160004,110.019997,110.260002,101.518257,31121300,yahoo_finance_chart
