date,symbol,open,high,low,close,adj_close,volume,source
2015-01-02,META,78.580002,78.930000,77.699997,78.449997,77.767067,18177500,yahoo_finance_chart
2015-01-05,META,77.980003,79.250000,76.860001,77.190002,76.518059,26452200,yahoo_finance_chart
2015-01-06,META,77.230003,77.589996,75.360001,76.150002,75.487122,27399300,yahoo_finance_chart
2015-01-07,META,76.760002,77.360001,75.820000,76.150002,75.487122,22045300,yahoo_finance_chart
2015-01-08,META,76.739998,78.230003,76.080002,78.180000,77.499435,23961000,yahoo_finance_chart
2015-01-09,META,78.199997,78.620003,77.199997,77.739998,77.063263,21157000,yahoo_finance_chart
2015-01-12,META,77.839996,78.000000,76.209999,76.720001,76.052155,19190200,yahoo_finance_chart
2015-01-13,META,77.230003,78.080002,75.849998,76.449997,75.784500,25179600,yahoo_finance_chart
2015-01-14,META,76.419998,77.199997,76.029999,76.279999,75.615990,25918600,yahoo_finance_chart
2015-01-15,META,76.400002,76.570000,73.540001,74.050003,73.405388,34134000,yahoo_finance_chart
2015-01-16,META,74.040001,75.320000,73.839996,75.180000,74.525551,21791500,yahoo_finance_chart
2015-01-20,META,75.720001,76.309998,74.820000,76.239998,75.576317,22821600,yahoo_finance_chart
2015-01-21,META,76.160004,77.300003,75.849998,76.739998,76.071968,25096700,yahoo_finance_chart
2015-01-22,META,77.169998,77.750000,76.680000,77.650002,76.974045,19519500,yahoo_finance_chart
2015-01-23,META,77.650002,78.190002,77.040001,77.830002,77.152481,16746500,yahoo_finance_chart
2015-01-26,META,77.980003,78.470001,77.290001,77.500000,76.825356,19260800,yahoo_finance_chart
2015-01-27,META,76.709999,76.879997,75.629997,75.779999,75.120338,20110000,yahoo_finance_chart
2015-01-28,META,76.900002,77.639999,76.000000,76.239998,75.576317,53306400,yahoo_finance_chart
2015-01-29,META,76.849998,78.019997,74.209999,78.000000,77.321007,61293500,yahoo_finance_chart
2015-01-30,META,78.000000,78.160004,75.750000,75.910004,75.249199,42649500,yahoo_finance_chart
2015-02-02,META,76.110001,76.139999,73.750000,74.989998,74.337204,41955300,yahoo_finance_chart
2015-02-03,META,75.190002,75.580002,73.860001,75.400002,74.743645,26957700,yahoo_finance_chart
2015-02-04,META,75.089996,76.349998,75.010002,75.629997,74.971634,20277400,yahoo_finance_chart
2015-02-05,META,75.709999,75.980003,75.209999,75.610001,74.951820,15062600,yahoo_finance_chart
2015-02-06,META,75.680000,75.699997,74.250000,74.470001,73.821739,21211000,yahoo_finance_chart
2015-02-09,META,74.050003,74.830002,73.449997,74.440002,73.791992,16194300,yahoo_finance_chart
2015-02-10,META,74.849998,75.339996,74.500000,75.190002,74.535469,15811300,yahoo_finance_chart
2015-02-11,META,75.089996,76.750000,75.029999,76.510002,75.843964,20877400,yahoo_finance_chart
2015-02-12,META,76.860001,76.870003,75.889999,76.230003,75.566422,17235000,yahoo_finance_chart
2015-02-13,META,76.459999,76.480003,75.500000,75.739998,75.080666,18621900,yahoo_finance_chart
2015-02-17,META,75.300003,76.910004,75.080002,75.599998,74.941895,25254400,yahoo_finance_chart
2015-02-18,META,75.940002,76.900002,75.449997,76.709999,76.042229,22426400,yahoo_finance_chart
2015-02-19,META,76.989998,79.839996,76.949997,79.419998,78.728638,45851200,yahoo_finance_chart
2015-02-20,META,79.550003,80.339996,79.199997,79.900002,79.204468,36931700,yahoo_finance_chart
2015-02-23,META,79.959999,80.190002,78.379997,78.839996,78.153687,24139100,yahoo_finance_chart
2015-02-24,META,78.500000,79.480003,78.099998,78.449997,77.767067,18897100,yahoo_finance_chart
2015-02-25,META,78.500000,80.199997,78.500000,79.559998,78.867416,25593800,yahoo_finance_chart
2015-02-26,META,79.879997,81.370003,79.720001,80.410004,79.710014,31111900,yahoo_finance_chart
2015-02-27,META,80.680000,81.230003,78.620003,78.970001,78.282555,30739200,yahoo_finance_chart
2015-03-02,META,79.000000,79.860001,78.519997,79.750000,79.055763,21662500,yahoo_finance_chart
2015-03-03,META,79.610001,79.699997,78.519997,79.599998,78.907066,18635000,yahoo_finance_chart
2015-03-04,META,79.300003,81.150002,78.849998,80.900002,80.195747,28126700,yahoo_finance_chart
2015-03-05,META,81.230003,81.989998,81.050003,81.209999,80.503052,27825700,yahoo_finance_chart
2015-03-06,META,80.900002,81.330002,79.830002,80.010002,79.313507,24488600,yahoo_finance_chart
2015-03-09,META,79.680000,79.910004,78.629997,79.440002,78.748466,18925100,yahoo_finance_chart
2015-03-10,META,78.500000,79.260002,77.550003,77.550003,76.874916,23067100,yahoo_finance_chart
2015-03-11,META,77.800003,78.430000,77.260002,77.570000,76.894745,20215700,yahoo_finance_chart
2015-03-12,META,78.099998,79.050003,77.910004,78.930000,78.242897,16093300,yahoo_finance_chart
2015-03-13,META,78.599998,79.379997,77.680000,78.050003,77.370560,18557300,yahoo_finance_chart
2015-03-16,META,77.959999,78.120003,77.360001,78.070000,77.390388,19305400,yahoo_finance_chart
2015-03-17,META,78.360001,79.779999,78.339996,79.360001,78.669144,22170000,yahoo_finance_chart
2015-03-18,META,79.250000,81.239998,79.169998,80.910004,80.205673,36912400,yahoo_finance_chart
