date,symbol,open,high,low,close,adj_close,volume,source
2015-03-09,SPY,207.740005,208.789993,207.550003,208.360001,172.108032,89818900,yahoo_finance_chart
2015-03-10,SPY,206.710007,206.809998,204.929993,204.979996,169.316086,157121300,yahoo_finance_chart
2015-03-11,SPY,205.289993,205.500000,204.399994,204.500000,168.919632,110145700,yahoo_finance_chart
2015-03-12,SPY,205.259995,207.179993,205.199997,207.100006,171.067276,93993500,yahoo_finance_chart
2015-03-13,SPY,206.770004,207.929993,204.580002,205.830002,170.018265,162410900,yahoo_finance_chart
2015-03-16,SPY,206.710007,208.690002,205.860001,208.580002,172.289856,136099200,yahoo_finance_chart
2015-03-17,SPY,207.690002,208.419998,206.979996,207.960007,171.777725,94510400,yahoo_finance_chart
2015-03-18,SPY,207.389999,211.270004,206.619995,210.460007,173.842712,228808500,yahoo_finance_chart
2015-03-19,SPY,209.960007,210.470001,209.029999,209.500000,173.049698,117917300,yahoo_finance_chart
2015-03-20,SPY,209.710007,211.020004,209.490005,210.410004,174.577255,177715100,yahoo_finance_chart
2015-03-23,SPY,210.419998,211.110001,210.000000,210.000000,174.237061,71784500,yahoo_finance_chart
2015-03-24,SPY,209.850006,210.399994,208.740005,208.820007,173.257980,77805300,yahoo_finance_chart
2015-03-25,SPY,209.070007,209.350006,205.710007,205.759995,170.719070,159521700,yahoo_finance_chart
2015-03-26,SPY,204.960007,206.369995,204.119995,205.270004,170.312546,153067200,yahoo_finance_chart
2015-03-27,SPY,205.130005,205.949997,204.899994,205.740005,170.702515,118939000,yahoo_finance_chart
2015-03-30,SPY,206.979996,208.610001,206.960007,208.250000,172.785049,96180400,yahoo_finance_chart
2015-03-31,SPY,207.259995,208.100006,206.360001,206.429993,171.274994,126768700,yahoo_finance_chart
2015-04-01,SPY,206.389999,206.419998,204.509995,205.699997,170.669312,137303600,yahoo_finance_chart
2015-04-02,SPY,205.619995,206.979996,205.399994,206.440002,171.283279,86900900,yahoo_finance_chart
2015-04-06,SPY,205.369995,208.449997,205.210007,207.830002,172.436569,114368200,yahoo_finance_chart
2015-04-07,SPY,207.860001,208.759995,207.240005,207.279999,171.980240,81236300,yahoo_finance_chart
2015-04-08,SPY,207.550003,208.509995,207.080002,207.979996,172.561005,89351900,yahoo_finance_chart
2015-04-09,SPY,207.779999,209.179993,207.190002,208.899994,173.324402,85548900,yahoo_finance_chart
2015-04-10,SPY,209.199997,210.089996,208.960007,210.039993,174.270218,72722900,yahoo_finance_chart
