symbol,corp_code,business_year,report_code,fs_div,statement_name,account_name,current_amount,previous_amount,currency,ord,receipt_no,receipt_date,receipt_time,collected_at,usable_from,report_period_end,correction_filing_flag,original_receipt_no,source_revision,quality_status,excluded_reason,training_allowed_now,trading_allowed,production_effect
5930,00126380,2025,11011,,재무상태표,지배기업 소유주지분,424313255000000.0,391687603000000.0,KRW,30,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,기타자본항목,16876248000000.0,15873008000000.0,KRW,31,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,자본금,897514000000.0,897514000000.0,KRW,32,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,보통주자본금,778047000000.0,778047000000.0,KRW,33,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,우선주자본금,119467000000.0,119467000000.0,KRW,34,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,이익잉여금,402135600000000.0,370513188000000.0,KRW,35,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,주식발행초과금,4403893000000.0,4403893000000.0,KRW,36,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,비지배지분,12007082000000.0,10504467000000.0,KRW,37,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,부채와자본총계,566942110000000.0,514531948000000.0,KRW,38,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,유동부채,106411348000000.0,93326299000000.0,KRW,40,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,예수금,1001885000000.0,991812000000.0,KRW,41,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,단기차입금,17574980000000.0,13172504000000.0,KRW,42,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,미지급비용,32707431000000.0,29613258000000.0,KRW,43,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,선수금,1933598000000.0,1841420000000.0,KRW,44,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
5930,00126380,2025,11011,,재무상태표,유동성장기부채,1177508000000.0,2207290000000.0,KRW,45,,,,2026-06-30T09:00:00,2026-06-30,2025-12-31,False,,dart:5930:2025:11011,WARN,missing_receipt_date_using_collected_at,False,False,none
